,neighborhood,latitude,longitude,size_in_sqft,price_per_sqft,no_of_bedrooms,no_of_bathrooms,quality
121,Dubai Hills Estate,25.11576,55.248755,1087,1011.96,2,2,1
122,Dubai Hills Estate,25.11576,55.248755,646,1083.59,1,1,1
123,Dubai Sports City,25.031902,55.223079000000006,883,792.75,2,2,2
124,City Walk,25.200221,55.264588,2574,1429.68,3,5,1
125,Downtown Dubai,25.195926,55.28318,3399,2942.04,4,5,2
126,Downtown Dubai,25.194935,55.282665,1447,1520.39,2,2,1
127,Old Town,25.193542,55.277061,1185,1535.86,1,2,2
128,Palm Jumeirah,25.111902,55.138103,380,1726.02,0,1,3
129,Dubai Hills Estate,25.109367,55.247980000000005,1953,1177.68,3,5,3
130,City Walk,25.204462,55.262161,1830,1748.63,2,4,1
131,Dubai Marina,25.073593,55.137516000000005,1385,1570.4,2,3,1
132,Jumeirah Village Circle,25.068608,55.207423,846,827.42,1,1,2
133,Dubai Marina,25.072396,55.132386,759,1119.89,2,2,1
134,Dubai Hills Estate,25.106147,55.246977,718,1485.92,1,1,2
135,Palm Jumeirah,25.106964,55.111349,1356,1843.66,2,3,2
136,Jumeirah Village Circle,25.056225,55.20458000000001,1460,1028.77,3,3,3
137,Dubai Silicon Oasis,25.123141,55.398644,1800,477.78,2,3,2
138,Downtown Dubai,25.186836,55.276951,915,1092.9,1,1,1
139,Dubai Marina,25.077327,55.140317,545,1559.63,0,2,2
140,Downtown Dubai,25.194547,55.282429,1566,2171.14,2,3,2
141,Downtown Dubai,25.194935,55.282665,2310,2380.95,3,4,2
142,Jumeirah Village Circle,25.051528,55.212972,935,869.52,2,2,1
143,City Walk,25.200221,55.264588,2084,1631.0,3,4,2
144,Dubai Marina,25.073151,55.136982,1302,1221.16,2,3,2
145,Jumeirah Beach Residence,25.07359,55.126352,3638,2902.69,4,3,2
146,Dubai Sports City,25.044572,55.218948,849,459.36,1,2,2
147,The Views,25.089719,55.170481,1458,1131.69,2,2,2
148,Jumeirah Beach Residence,25.072791,55.129829,1262,950.87,2,2,2
149,Palm Jumeirah,25.112725,55.109525,4526,1193.11,4,5,2
150,Jumeirah Beach Residence,25.07359,55.126352,5018,2949.38,5,5,3
151,Palm Jumeirah,25.112604,55.143347,1509,1126.57,1,1,1
152,Jumeirah Beach Residence,25.07851,55.136283,779,1039.79,1,2,2
153,Downtown Dubai,25.198796,55.271342,1391,1689.43,2,3,1
154,Downtown Dubai,25.194282,55.27886899999999,796,3768.84,1,2,2
155,Jumeirah Lake Towers,25.075364,55.14530799999999,1315,699.62,3,2,2
156,Palm Jumeirah,25.132519,55.151574,1040,1923.08,1,2,2
157,Palm Jumeirah,25.106809,55.151201,1144,1158.22,1,1,1
158,Downtown Dubai,25.194186,55.269439,1244,2291.0,2,2,2
159,Downtown Dubai,25.194186,55.269439,792,2083.33,1,2,2
160,Dubai Sports City,25.042264000000003,55.21736,969,423.12,1,2,2
161,Umm Suqeim,25.137409,55.188956999999995,1860,1989.25,3,4,2
162,Jumeirah Village Circle,25.060247,55.203070999999994,726,922.87,1,2,1
163,Downtown Dubai,25.19045,55.272402,1182,930.63,1,2,2
164,Greens,25.091871,55.174751,767,808.34,1,1,2
165,Business Bay,25.186477,55.282056,1414,1414.43,3,3,2
166,Jumeirah Village Circle,25.04675,55.200525,634,1044.16,1,2,2
