,neighborhood,latitude,longitude,size_in_sqft,price_per_sqft,no_of_bedrooms,no_of_bathrooms,quality
717,Palm Jumeirah,25.10798,55.147521,1583,795.96,2,4,2
718,DAMAC Hills,25.021049,55.255442,559,760.29,0,1,2
719,Dubai Marina,25.090136,55.150381,1207,1284.18,2,3,2
720,Dubai Marina,25.088606,55.148208,1219,648.07,2,2,1
721,Barsha Heights (Tecom),25.10004,55.175161,1307,780.41,2,2,2
723,Downtown Dubai,25.191404,55.27389599999999,838,1193.32,1,2,1
724,Greens,25.095179,55.170078,2070,845.41,3,3,1
725,Downtown Dubai,25.195483,55.271797,782,1886.19,1,2,2
726,Jumeirah Beach Residence,25.082647,55.135003000000005,1901,1778.01,3,4,1
727,Dubai Marina,25.087147,55.14668100000001,800,2251.25,1,2,3
730,Greens,25.093469,55.173061,1281,952.38,2,2,1
731,Dubai Marina,25.071356,55.136879,1271,786.71,2,3,2
732,Dubai Hills Estate,25.107984,55.244923,1493,1138.65,2,2,1
733,Dubai Sports City,25.039066,55.220696999999994,860,639.53,1,2,2
734,Jumeirah Beach Residence,25.081265,55.139802,1922,806.45,3,4,2
735,Palm Jumeirah,25.112725,55.109525,2535,1420.12,3,4,2
736,Jumeirah Village Circle,25.066791,55.203684,666,930.93,1,2,2
737,Greens,25.095723,55.169499,1408,788.35,2,2,1
738,Jumeirah Beach Residence,25.072791,55.129829,1305,1072.8,2,2,2
739,Jumeirah Village Circle,25.051528,55.212972,1268,630.91,1,2,2
740,International City,25.161532,55.418,732,375.68,1,2,1
741,Jumeirah Village Circle,25.051384,55.2121,900,944.44,1,2,2
742,Dubai Hills Estate,25.109367,55.247980000000005,1960,943.88,3,4,2
745,Dubai Marina,25.085322,55.14480699999999,1550,1048.39,2,3,2
746,Jumeirah Beach Residence,25.083858,55.138714,2587,3092.39,3,4,2
747,Jumeirah Lake Towers,25.07887,55.148529,1680,863.1,2,3,1
748,Downtown Dubai,25.186457,55.277512,936,1014.96,1,2,2
749,Dubai Silicon Oasis,25.115934,55.390236,306,800.65,0,1,1
750,Arjan,25.0633,55.243343,800,873.75,1,1,2
751,Palm Jumeirah,25.116067,55.137581,1734,951.56,2,4,2
752,Palm Jumeirah,25.114513,55.136122,2439,881.51,3,4,2
753,Dubai Creek Harbour (The Lagoons),25.194722,55.35916700000001,695,1223.02,1,1,2
754,Dubai Marina,25.087147,55.14668100000001,616,2418.83,0,1,3
755,Dubai Marina,25.087147,55.14668100000001,616,2422.08,0,1,3
756,Palm Jumeirah,25.111943,55.144174,2055,1265.18,2,3,2
757,Downtown Dubai,25.195483,55.271797,653,1914.24,1,1,2
758,Downtown Dubai,25.195483,55.271797,619,2100.16,1,1,2
759,Dubai Silicon Oasis,25.119354,55.377959999999995,881,681.04,1,1,2
761,Old Town,25.189423,55.274427,1966,1136.83,3,4,1
762,Motor City,25.046818,55.247353,1439,642.81,2,3,2
763,The Hills,25.077955,55.159380000000006,1282,1092.04,2,2,2
764,Dubai Marina,25.074439,55.133386,1405,1494.63,2,3,1
765,Dubai Marina,25.083483,55.148688,1688,1472.16,2,2,2
766,Downtown Dubai,25.191107,55.26991,865,1017.34,1,1,1
767,Dubai Sports City,25.037236,55.20598,775,901.94,1,2,2
768,Dubai Hills Estate,25.109367,55.247980000000005,1296,987.65,2,2,1
769,Dubai Marina,25.083145,55.146840000000005,1653,1016.33,2,3,1
770,Dubai Hills Estate,25.11576,55.248755,1607,1088.99,3,4,1
771,Palm Jumeirah,25.111229,55.136449,2250,1311.11,3,4,1
772,Palm Jumeirah,25.111943,55.144174,1603,842.17,2,1,1
773,Jumeirah Village Circle,25.057022,55.198917,1145,759.83,1,2,2
774,Downtown Dubai,25.19702,55.271023,827,1451.03,0,1,2
775,Palm Jumeirah,25.11087,55.136056999999994,1377,1379.81,1,2,2
776,Palm Jumeirah,25.132519,55.151574,950,2105.26,1,2,1
777,Downtown Dubai,25.186836,55.276951,915,1092.9,1,1,1
778,Palm Jumeirah,25.113366,55.13609,1777,951.04,2,2,2
779,Jumeirah Beach Residence,25.07851,55.136283,756,1044.97,1,1,1
780,DIFC,25.207533,55.277978,2440,1680.33,2,3,2
781,Downtown Dubai,25.19079,55.271958999999995,836,1196.17,1,2,2
782,Downtown Dubai,25.19752,55.270168000000005,1282,994.54,2,3,1
783,Palm Jumeirah,25.123294,55.112014,2603,1114.1,3,4,2
784,Downtown Dubai,25.190443,55.273465,2813,3181.66,4,5,2
785,Dubai Marina,25.087979,55.146464,2455,651.73,2,4,1
786,Dubai Marina,25.086376,55.14736,1211,2136.25,2,2,3
787,Town Square,25.01057,55.289787,916,998.79,2,3,1
788,Jumeirah Village Circle,25.048095,55.206373,771,791.93,1,1,2
789,Discovery Gardens,25.044519,55.137291000000005,861,580.72,1,2,1
790,Palm Jumeirah,25.10355,55.168509,3236,4502.47,3,4,2
791,Mohammed Bin Rashid City,25.176965,55.311826,792,1197.36,1,2,2
792,Dubai Marina,25.086575,55.147768000000006,1277,1480.03,2,2,2
793,Green Community,25.006838,55.16421999999999,2100,595.24,2,2,2
794,Palm Jumeirah,25.110525,55.135714,2279,1645.46,3,3,2
795,Downtown Dubai,25.191719,55.270677,1976,1619.43,3,3,2
796,Motor City,25.046667000000003,55.247958999999994,1066,609.76,1,2,1
797,City Walk,25.20532,55.260502,956,1462.34,1,2,2
798,Jumeirah Lake Towers,25.074521,55.143825,2063,630.15,2,4,2
799,Dubai Marina,25.087979,55.146464,3882,1017.52,3,6,1
800,Jumeirah Beach Residence,25.078122,55.134763,1450,896.55,2,3,2
801,Jumeirah Village Circle,25.048095,55.206373,1110,817.02,2,3,2
802,Jumeirah Lake Towers,25.071616,55.143728,437,903.89,0,1,2
803,Palm Jumeirah,25.104115,55.14847,1512,1653.44,1,2,3
804,Downtown Dubai,25.195237,55.271449,1861,3114.93,3,4,1
805,Jumeirah,25.240419,55.25277,2007,1444.94,3,4,1
806,Jumeirah,25.240419,55.25277,1200,1416.67,2,3,1
807,Al Furjan,25.030322,55.149141,1797,695.6,3,4,1
808,Jumeirah Village Circle,25.060394,55.200053,1272,585.69,1,1,1
809,Palm Jumeirah,25.104582,55.148449,1800,1944.44,2,2,1
810,The Views,25.088533,55.171838,754,1180.37,1,1,1
811,Dubai Marina,25.074285999999997,55.138949,699,1430.62,1,2,2
812,Town Square,25.003729999999997,55.297034,2408,498.34,3,3,2
813,Dubai Creek Harbour (The Lagoons),25.204135,55.344345,1164,1460.48,2,3,2
814,Downtown Dubai,25.200926000000003,55.280912,1607,1742.38,3,3,2
815,Dubai Marina,25.085047,55.142415,807,954.15,1,2,1
816,Al Sufouh,25.108984,55.177657,1782,1066.22,3,4,2
817,Arjan,25.062083,55.243556000000005,377,1432.36,0,1,2
818,Dubai Marina,25.090214000000003,55.149868999999995,3554,1266.18,3,5,1
819,Downtown Dubai,25.192975,55.281314,967,1292.66,1,2,1
820,Palm Jumeirah,25.108728,55.142382,1723,1392.92,2,3,1
821,Business Bay,25.184884,55.260565,891,1515.15,2,3,2
822,DIFC,25.211032,55.28205,2437,1559.29,3,3,2
823,Downtown Dubai,25.200879,55.276331000000006,1449,1828.85,2,3,2
824,Downtown Dubai,25.200879,55.276331000000006,2184,2152.01,3,5,3
825,Jumeirah Village Circle,25.048001,55.205122,554,586.64,0,1,2
826,Mohammed Bin Rashid City,25.177819,55.308533,493,1665.0,1,1,1
827,Greens,25.096219,55.170272,2398,744.37,4,3,1
828,The Views,25.089515,55.171022,1237,1130.96,2,2,1
829,Dubai Silicon Oasis,25.119354,55.377959999999995,790,493.67,1,1,2
830,Jumeirah Beach Residence,25.072569,55.126527,640,2406.25,1,2,2
831,Mohammed Bin Rashid City,25.177819,55.308533,899,1650.0,2,2,1
832,Jumeirah Beach Residence,25.081265,55.139802,1105,1402.71,1,2,2
833,Town Square,25.003729999999997,55.297034,1064,648.5,2,2,2
834,Jumeirah Village Circle,25.049808,55.200832,510,833.33,0,1,1
835,Jumeirah Beach Residence,25.072569,55.126527,1181,2074.51,2,3,1
836,Business Bay,25.183515,55.26667,4000,4050.0,2,2,1
837,Al Barari,25.099422,55.31296700000001,2745,983.61,2,3,1
838,Dubai Creek Harbour (The Lagoons),25.195295,55.365799,725,1020.69,1,1,2
839,Town Square,25.01551,55.283111,883,764.44,2,2,2
840,The Views,25.088533,55.171838,1364,1209.68,2,2,1
841,Downtown Dubai,25.198796,55.271342,880,2159.09,1,1,1
842,Dubai Production City (IMPZ),25.03439,55.201958999999995,1256,437.9,2,2,1
843,Jumeirah Lake Towers,25.07887,55.148529,980,969.39,1,2,1
844,Greens,25.094713,55.171237,1441,763.36,2,2,2
845,Downtown Dubai,25.186457,55.277512,1678,1251.49,2,3,1
846,Downtown Dubai,25.19331,55.280919,1442,1588.07,2,3,1
847,Mohammed Bin Rashid City,25.176686,55.309922,700,1586.0,1,2,2
848,Palm Jumeirah,25.111229,55.136449,1890,898.94,1,2,2
849,Business Bay,25.180869,55.271015000000006,713,981.77,0,1,2
850,Town Square,25.010196,55.291467,680,720.59,1,1,1
851,Town Square,25.010066,55.290055,1340,602.99,3,3,3
852,Palm Jumeirah,25.132519,55.151574,1621,3082.05,2,3,2
853,Palm Jumeirah,25.132445,55.152216,4877,3383.23,3,4,2
854,Motor City,25.045763,55.245835,907,716.65,1,2,1
855,The Hills,25.078492,55.15864200000001,2035,1965.6,3,4,2
856,Dubai Marina,25.069473,55.134775,666,885.89,1,1,1
857,Downtown Dubai,25.200879,55.276331000000006,1271,3540.52,2,3,2
858,Downtown Dubai,25.187855,55.279641000000005,1242,1690.82,2,3,2
859,Downtown Dubai,25.192132,55.27216899999999,1400,1392.86,2,3,2
860,Al Furjan,25.027786,55.154686,795,817.61,1,2,3
861,Downtown Dubai,25.19331,55.280919,1470,1564.63,2,3,2
862,Business Bay,25.184483,55.292343,669,1660.52,0,1,2
863,Dubai Creek Harbour (The Lagoons),25.204135,55.344345,1592,1256.28,3,4,2
864,Al Sufouh,25.110967,55.178082,1366,951.68,2,2,1
865,Motor City,25.045763,55.245835,907,744.21,1,1,1
866,Dubai Hills Estate,25.107984,55.244923,844,1332.94,1,1,1
867,Downtown Dubai,25.191285,55.275202,2379,1471.16,3,3,2
868,Dubai Marina,25.087147,55.14668100000001,1516,2228.23,2,3,3
869,Culture Village,25.227295,55.341761,1764,2382.6,2,3,1
870,Culture Village,25.226946,55.343628,707,1414.43,1,1,1
871,Culture Village,25.226946,55.343628,561,1335.12,0,1,1
872,Culture Village,25.227295,55.341761,2289,1878.55,3,4,1
873,Jumeirah Beach Residence,25.07359,55.126352,1899,1922.06,3,4,2
874,DAMAC Hills,25.018888,55.246463,407,1664.0,0,1,2
875,DAMAC Hills,25.018888,55.246463,591,1662.94,1,1,2
876,Jumeirah Lake Towers,25.065886,55.138245999999995,1389,683.95,1,1,2
877,Mirdif,25.22724,55.441623,780,1200.0,1,2,2
878,Jumeirah Village Circle,25.051448,55.207712,745,1108.57,1,2,1
879,Jumeirah Village Circle,25.049772,55.204243000000005,890,938.2,1,2,2
880,Jumeirah Lake Towers,25.069929,55.141025,1561,960.92,3,3,1
881,Jumeirah Village Circle,25.051302,55.199936,609,697.87,0,1,2
882,Dubai Sports City,25.038978,55.218272,1921,702.24,3,4,2
883,Jumeirah Village Circle,25.051384,55.2121,1089,899.91,2,3,2
884,City Walk,25.204058,55.263127,2678,1717.7,3,4,2
885,Jumeirah Golf Estates,25.029767,55.206417,776,792.53,1,2,2
886,Downtown Dubai,25.186457,55.277512,1625,1089.23,2,3,2
887,Downtown Dubai,25.195483,55.271797,607,2492.4,1,2,2
888,Old Town,25.188671,55.276396,919,1300.33,1,2,1
889,Downtown Dubai,25.203035,55.280662,1202,1331.11,2,3,1
890,Jumeirah Lake Towers,25.074521,55.143825,2063,678.62,2,3,2
891,Jumeirah Village Circle,25.065988,55.212062,437,915.33,0,1,2
892,Palm Jumeirah,25.112193,55.138635,314,2069.71,0,1,2
893,Bluewaters,25.079276,55.12067,1510,1821.19,2,3,2
894,The Views,25.092075,55.16822,1269,1024.43,2,2,2
895,Dubai Marina,25.089463,55.148929,1503,798.4,3,3,1
896,Jumeirah Village Circle,25.065988,55.212062,483,983.44,1,2,2
897,Dubai Festival City,25.218977,55.367945,2182,836.39,3,3,2
898,Jumeirah Beach Residence,25.072569,55.126527,639,2425.67,1,2,1
899,Jumeirah Beach Residence,25.082647,55.135003000000005,1160,2000.0,1,2,2
900,Jumeirah Lake Towers,25.080238,55.151252,1690,843.2,2,2,2
901,Downtown Dubai,25.191634,55.269309,2530,1778.66,3,4,2
902,Jumeirah Lake Towers,25.069851999999997,55.140209,3756,851.97,4,4,1
903,Dubai Marina,25.086575,55.147768000000006,1958,1557.71,3,5,1
904,Jumeirah Village Circle,25.065988,55.212062,1492,569.71,2,3,2
905,Business Bay,25.188556,55.289173,4907,3454.25,3,2,3
906,Dubai Marina,25.087251,55.145574,950,1368.42,1,2,2
907,Downtown Dubai,25.189617,55.273196,1241,1329.57,2,3,2
908,Downtown Dubai,25.189617,55.273196,1325,1245.28,2,3,2
909,Downtown Dubai,25.189617,55.273196,1755,1310.54,3,4,2
910,Jumeirah Beach Residence,25.077072,55.134232999999995,760,1118.42,0,1,2
911,City Walk,25.202965,55.260897,2420,2045.45,3,4,1
912,Downtown Dubai,25.186836,55.276951,915,1092.9,1,1,2
913,Downtown Dubai,25.201718,55.270982999999994,1507,1858.0,2,3,1
914,Al Sufouh,25.108984,55.177657,1201,999.17,2,3,1
915,Jumeirah Village Circle,25.057022,55.198917,2184,618.13,2,2,2
916,Jumeirah Lake Towers,25.065571,55.140241,852,809.86,1,2,2
917,Umm Suqeim,25.137409,55.188956999999995,772,1843.26,1,1,1
918,Dubai Marina,25.090136,55.150381,1192,1333.89,2,2,2
919,Dubai Marina,25.090418,55.14874,890,842.7,1,2,2
920,Downtown Dubai,25.18984,55.281004,1487,941.49,2,3,1
921,Downtown Dubai,25.194282,55.271884,2385,3312.37,3,4,2
922,Dubai South (Dubai World Central),24.942372,55.228215000000006,665,639.1,1,1,2
923,Downtown Dubai,25.192871,55.281487,1338,1737.67,2,3,2
924,Downtown Dubai,25.190262,55.27305500000001,1649,1637.36,2,3,1
925,Dubai Marina,25.083483,55.148688,2514,1270.88,3,4,2
926,Greens,25.095723,55.169499,1294,850.08,2,2,2
927,Palm Jumeirah,25.107086,55.14684499999999,1886,689.29,2,3,2
928,Downtown Dubai,25.191719,55.270677,1969,1625.19,3,3,2
929,Al Furjan,25.026312,55.156274,700,757.14,1,1,2
930,Palm Jumeirah,25.105166,55.148162,1739,2070.16,2,3,2
931,Dubai Land,25.101565,55.370649,634,520.5,1,1,2
932,Dubai Marina,25.076576,55.13684,2050,1756.1,3,4,1
933,Jumeirah Lake Towers,25.077009,55.146035,532,939.85,0,2,2
934,Dubai Marina,25.087251,55.145574,1314,1522.07,2,3,2
935,Downtown Dubai,25.195542,55.26884,1550,2006.45,3,3,1
936,Palm Jumeirah,25.125477,55.153066,790,1569.62,1,1,1
937,Dubai Marina,25.074285999999997,55.138949,713,1245.44,1,2,1
938,Downtown Dubai,25.187129,55.27839399999999,974,1334.7,1,2,2
939,Jumeirah Beach Residence,25.0799,55.13193100000001,1515,2386.14,2,2,1
940,Business Bay,25.183515,55.26667,685,1416.06,1,2,2
941,Dubai Marina,25.086376,55.14736,1312,1657.77,2,3,2
942,Dubai Land,25.111535,55.365680000000005,715,489.51,1,1,2
943,Dubai Land,25.111535,55.365680000000005,1239,403.55,2,3,2
944,Meydan,25.150828,55.295714,1494,870.15,2,2,2
945,Business Bay,25.180869,55.271015000000006,1007,744.79,1,2,3
946,Jumeirah,25.215192,55.235827,1620,2777.16,1,2,2
947,Downtown Dubai,25.195483,55.271797,611,2428.62,1,2,2
948,Jumeirah Lake Towers,25.063302,55.137728,900,633.33,1,2,1
